Log likelihood at zeros:-24997.07704489647
Initial log likelihood:-24997.07704489647
Final log likelihood:-21181.918181415425
rho squared=0.15262419908650737
adjusted rho squared=0.15214414295920708
AIC=42387.83636283085
BIC=42481.694578706876
Parameter	Estimate	s.e.	t-ratio0	p-value	Rob s.e.	Rob t-ratio0	Rob p-value
tau_mean	-0.379	0.021	-18.068	0.0	0.022	-17.191	0.0
sigma_tau	-1.159	0.039	-29.548	0.0	0.015	-79.722	0.0
alpha_acc	2.061	0.201	10.277	0.0	0.283	7.273	0.0
alpha_dec	-2.74	0.23	-11.912	0.0	0.348	-7.88	0.0
beta_acc	0.34	0.036	9.385	0.0	0.041	8.332	0.0
beta_dec	0.021	0.02	1.052	0.293	0.017	1.283	0.199
gamma_acc	0.74	0.046	16.097	0.0	0.061	12.204	0.0
gamma_dec	0.687	0.035	19.623	0.0	0.052	13.206	0.0
lamda_acc	0.962	0.031	30.71	0.0	0.036	26.833	0.0
lamda_dec	1.004	0.023	43.064	0.0	0.028	35.833	0.0
sigma_acc	-0.295	0.008	-38.28	0.0	0.012	-24.406	0.0
sigma_dec	-0.261	0.008	-33.008	0.0	0.014	-19.127	0.0
