Parameter,Estimate,s.e.,t-ratio0,p-value,Rob s.e.,Rob t-ratio0,Rob p-value
alpha_acc,2.509,0.269,9.33,0.0,0.353,7.113,0.0
alpha_dec,-2.458,0.221,-11.145,0.0,0.319,-7.697,0.0
beta_acc,0.285,0.039,7.32,0.0,0.042,6.779,0.0
beta_dec,0.101,0.035,2.871,0.004,0.044,2.296,0.022
gamma_acc,0.765,0.05,15.222,0.0,0.061,12.513,0.0
gamma_dec,0.698,0.044,15.849,0.0,0.067,10.48,0.0
lamda_acc,0.962,0.033,29.595,0.0,0.034,28.222,0.0
lamda_dec,0.92,0.024,37.81,0.0,0.026,34.792,0.0
sigma_acc,-0.263,0.007,-36.139,0.0,0.012,-21.419,0.0
sigma_dec,-0.231,0.007,-31.036,0.0,0.013,-17.941,0.0
