Parameter,Estimate,s.e.,t-ratio0,p-value,Rob s.e.,Rob t-ratio0,Rob p-value
alpha_acc,0.393,0.073,5.381,0.0,0.212,1.851,0.064
alpha_dec,-4.574,0.367,-12.455,0.0,1.066,-4.29,0.0
beta_acc,0.057,0.068,0.841,0.4,0.198,0.29,0.772
beta_dec,-0.288,0.035,-8.317,0.0,0.093,-3.092,0.002
gamma_acc,0.246,0.047,5.189,0.0,0.101,2.445,0.014
gamma_dec,0.611,0.025,24.823,0.0,0.082,7.458,0.0
lamda_acc,0.91,0.034,27.167,0.0,0.076,11.915,0.0
lamda_dec,0.918,0.021,44.166,0.0,0.056,16.251,0.0
sigma_acc,-1.169,0.011,-110.912,0.0,0.036,-32.645,0.0
sigma_dec,-0.968,0.01,-92.773,0.0,0.034,-28.418,0.0
