Parameter,Estimate,s.e.,t-ratio0,p-value,Rob s.e.,Rob t-ratio0,Rob p-value
gamma_dec,1.344,0.199,6.759,0.0,0.17,7.905,0.0
bc_acc,0.956,0.102,9.332,0.0,0.079,12.168,0.0
b_speed_c1,0.691,0.065,10.56,0.0,0.061,11.334,0.0
beta_dec,0.291,0.128,2.272,0.023,0.121,2.401,0.016
alpha_acc,0.384,0.03,12.988,0.0,0.046,8.299,0.0
sigma_dec,0.078,0.018,4.324,0.0,0.019,3.986,0.0
lamda_acc_p,0.043,0.005,8.565,0.0,0.007,5.737,0.0
alpha_dec,1.41,0.35,4.025,0.0,0.35,4.032,0.0
lamda_dec_n,1.709,0.183,9.315,0.0,0.181,9.433,0.0
beta_acc,0.019,0.012,1.612,0.107,0.018,1.098,0.272
sigma_acc,-0.944,0.01,-93.075,0.0,0.012,-76.14,0.0
b_speed_c2,-1.202,0.075,-16.137,0.0,0.077,-15.544,0.0
dn,0.058,0.008,6.868,0.0,0.009,6.179,0.0
bc_dec,-1.229,0.054,-22.708,0.0,0.061,-20.139,0.0
gamma_acc,-0.008,0.014,-0.613,0.54,0.021,-0.41,0.682
sigma_dn,-1.187,0.018,-67.397,0.0,0.033,-35.964,0.0
