,time,entity,id,x,y,status
0,0,drone,0,35.0,35.0,idle
1,0,drone,1,35.0,35.0,idle
2,0,drone,2,35.0,35.0,idle
3,0,drone,3,35.0,35.0,idle
4,0,drone,4,35.0,35.0,idle
5,0,drone,5,35.0,35.0,idle
6,1,drone,0,35.0,35.0,idle
7,1,drone,1,35.0,35.0,idle
8,1,drone,2,35.0,35.0,idle
9,1,drone,3,35.0,35.0,idle
10,1,drone,4,35.0,35.0,idle
11,1,drone,5,35.0,35.0,idle
12,2,drone,0,35.0,35.0,idle
13,2,drone,1,35.0,35.0,idle
14,2,drone,2,35.0,35.0,idle
15,2,drone,3,35.0,35.0,idle
16,2,drone,4,35.0,35.0,idle
17,2,drone,5,35.0,35.0,idle
18,3,drone,0,35.0,35.0,idle
19,3,drone,1,35.0,35.0,idle
20,3,drone,2,35.0,35.0,idle
21,3,drone,3,35.0,35.0,idle
22,3,drone,4,35.0,35.0,idle
23,3,drone,5,35.0,35.0,idle
24,4,drone,0,35.0,35.0,idle
25,4,drone,1,35.0,35.0,idle
26,4,drone,2,35.0,35.0,idle
27,4,drone,3,35.0,35.0,idle
28,4,drone,4,35.0,35.0,idle
29,4,drone,5,35.0,35.0,idle
30,5,drone,0,35.0,35.0,idle
31,5,drone,1,35.0,35.0,idle
32,5,drone,2,35.0,35.0,idle
33,5,drone,3,35.0,35.0,idle
34,5,drone,4,35.0,35.0,idle
35,5,drone,5,35.0,35.0,idle
36,6,drone,0,35.0,35.0,idle
37,6,drone,1,35.0,35.0,idle
38,6,drone,2,35.0,35.0,idle
39,6,drone,3,35.0,35.0,idle
40,6,drone,4,35.0,35.0,idle
41,6,drone,5,35.0,35.0,idle
42,7,drone,0,35.0,35.0,idle
43,7,drone,1,35.0,35.0,idle
44,7,drone,2,35.0,35.0,idle
45,7,drone,3,35.0,35.0,idle
46,7,drone,4,35.0,35.0,idle
47,7,drone,5,35.0,35.0,idle
48,8,drone,0,35.0,35.0,idle
49,8,drone,1,35.0,35.0,idle
50,8,drone,2,35.0,35.0,idle
51,8,drone,3,35.0,35.0,idle
52,8,drone,4,35.0,35.0,idle
53,8,drone,5,35.0,35.0,idle
54,9,drone,0,35.0,35.0,idle
55,9,drone,1,35.0,35.0,idle
56,9,drone,2,35.0,35.0,idle
57,9,drone,3,35.0,35.0,idle
58,9,drone,4,35.0,35.0,idle
59,9,drone,5,35.0,35.0,idle
60,10,drone,0,35.0,35.0,idle
61,10,drone,1,35.0,35.0,idle
62,10,drone,2,35.0,35.0,idle
63,10,drone,3,35.0,35.0,idle
64,10,drone,4,35.0,35.0,idle
65,10,drone,5,35.0,35.0,idle
66,11,drone,0,35.0,35.0,idle
67,11,drone,1,35.0,35.0,idle
68,11,drone,2,35.0,35.0,idle
69,11,drone,3,35.0,35.0,idle
70,11,drone,4,35.0,35.0,idle
71,11,drone,5,35.0,35.0,idle
72,12,drone,0,35.0,35.0,idle
73,12,drone,1,35.0,35.0,idle
74,12,drone,2,35.0,35.0,idle
75,12,drone,3,35.0,35.0,idle
76,12,drone,4,35.0,35.0,idle
77,12,drone,5,35.0,35.0,idle
78,13,drone,0,35.0,35.0,idle
79,13,drone,1,35.0,35.0,idle
80,13,drone,2,35.0,35.0,idle
81,13,drone,3,35.0,35.0,idle
82,13,drone,4,35.0,35.0,idle
83,13,drone,5,35.0,35.0,idle
84,14,drone,0,35.0,35.0,idle
85,14,drone,1,35.0,35.0,idle
86,14,drone,2,35.0,35.0,idle
87,14,drone,3,35.0,35.0,idle
88,14,drone,4,35.0,35.0,idle
89,14,drone,5,35.0,35.0,idle
90,15,drone,0,38.0,35.0,moving_to_pickup
91,15,drone,1,35.0,35.0,idle
92,15,drone,2,35.0,35.0,idle
93,15,drone,3,35.0,35.0,idle
94,15,drone,4,35.0,35.0,idle
95,15,drone,5,35.0,35.0,idle
96,16,drone,0,41.0,35.0,moving_to_pickup
97,16,drone,1,35.0,35.0,idle
98,16,drone,2,35.0,35.0,idle
99,16,drone,3,35.0,35.0,idle
100,16,drone,4,35.0,35.0,idle
101,16,drone,5,35.0,35.0,idle
